Text_Type,Chapter,Shloka,Charan,Start_sec,End_sec,Transcript_Devanagari,Expected_Text_From_CSV,Words,Confidence,Status,Notes
Prayer,1,0,-,0,4.8,ॐ श्री परमात्मने नमः,ॐ श्री परमात्मने नमः,-,High,Correct,Exact match
Chapter_Title,1,0,-,4.8,9,श्रीमद्भगवद्गीता,श्रीमद्भगवद्गीता,-,High,Correct,Exact match
Chapter_Heading,1,0,-,9,13.5,अथ प्रथमोऽध्यायः,अथ प्रथमोऽध्यायः,-,High,Correct,Exact match
Speaker_Label,1,1,-,13.5,17.5,धृतराष्ट्र उवाच,धृतराष्ट्र उवाच,-,High,Correct,Exact match
Shloka,1,1,A,17.5,21.8,धर्मक्षेत्रे कुरुक्षेत्रे,धर्मक्षेत्रे कुरुक्षेत्रे,"धर्मक्षेत्रे, कुरुक्षेत्रे",High,Correct,Exact match
Shloka,1,1,B,21.8,25.5,समवेता युयुत्सवः,समवेता युयुत्सवः,"समवेता, युयुत्सवः",High,Correct,Exact match
Shloka,1,1,C,25.5,29.5,मामकाः पाण्डवाश्चैव,मामकाः पाण्डवाश्चैव,"मामकाः, पाण्डवाश्चैव",High,Correct,Exact match
Shloka,1,1,D,29.5,34,किमकुर्वत सञ्जय,किमकुर्वत सञ्जय,"किमकुर्वत, सञ्जय",High,Correct,Exact match
Speaker_Label,1,2,-,34,38,सञ्जय उवाच,सञ्जय उवाच,-,High,Correct,Exact match
Shloka,1,2,A,38,42,दृष्ट्वा तु पाण्डवानीकं,दृष्ट्वा तु पाण्डवानीकं,"दृष्ट्वा, तु, पाण्डवानीकं",High,Correct,Exact match
Shloka,1,2,B,42,46.5,व्यूढं दुर्योधनस्तदा,व्यूढं दुर्योधनस्तदा,"व्यूढं, दुर्योधनस्तदा",High,Correct,Exact match
Shloka,1,2,C,46.5,50.8,आचार्यमुपसङ्गम्य,आचार्यमुपसङ्गम्य,आचार्यमुपसङ्गम्य,High,Correct,Exact match
Shloka,1,2,D,50.8,55,राजा वचनमब्रवीत्,राजा वचनमब्रवीत्,"राजा, वचनमब्रवीत्",High,Correct,Exact match
Shloka,1,3,A,55,59.8,पश्यैतां पाण्डुपुत्राणाम्,पश्यैतां पाण्डुपुत्राणाम्,"पश्यैतां, पाण्डुपुत्राणाम्",High,Correct,Exact match
Shloka,1,3,B,59.8,64,आचार्य महतीं चमूम्,आचार्य महतीं चमूम्,"आचार्य, महतीं, चमूम्",High,Correct,Exact match
Shloka,1,3,C,64,67.8,व्यूढां द्रुपदपुत्रेण,व्यूढां द्रुपदपुत्रेण,"व्यूढां, द्रुपदपुत्रेण",High,Correct,Exact match
Shloka,1,3,D,67.8,72.5,तव शिष्येण धीमता,तव शिष्येण धीमता,"तव, शिष्येण, धीमता",High,Correct,Exact match
Shloka,1,4,A,72.5,77,अत्र शूरा महेष्वासा,अत्र शूरा महेष्वासा,"अत्र, शूराः, महेष्वासाः",High,Matched,Minor visarga variation
Shloka,1,4,B,77,81.2,भीमार्जुनसमा युधि,भीमार्जुनसमा युधि,"भीमार्जुनसमा, युधि",High,Correct,Exact match
Shloka,1,4,C,81.2,85,युयुधानो विराटश्च,युयुधानो विराटश्च,"युयुधानः, विराटः, च",High,Correct,Exact match
